,Name,Author,Rating,Enrollment,Difficulty,URL
190,Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,4.6,27k,Beginner,https://www.coursera.org/learn/smart-cities
191,The Changing Global Order,Universiteit Leiden,4.7,26k,Intermediate,https://www.coursera.org/learn/changing-global-order
192,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),4.7,57k,Mixed,https://www.coursera.org/learn/transmedia-storytelling
193,Développement psychologique de l'enfant,University of Geneva,4.9,11k,Beginner,https://www.coursera.org/learn/enfant-developpement
194,Human Rights for Open Societies,Utrecht University,4.7,29k,Beginner,https://www.coursera.org/learn/humanrights
195,International Law In Action: Investigating and Prosecuting International Crimes,Universiteit Leiden,4.8,25k,Mixed,https://www.coursera.org/learn/international-law-in-action-2
196,A Law Student's Toolkit,Yale University,4.7,110k,Mixed,https://www.coursera.org/learn/law-student
197,International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,4.8,40k,Mixed,https://www.coursera.org/learn/international-law-in-action
198,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),McMaster University,4.9,230k,Beginner,https://www.coursera.org/learn/aprendiendo-a-aprender
199,Get Interactive: Practical Teaching with Technology,University of London,4.8,23k,Beginner,https://www.coursera.org/learn/getinmooc
200,Excel Fundamentals for Data Analysis,Macquarie University,4.7,16k,Intermediate,https://www.coursera.org/learn/excel-data-analysis-fundamentals
201,The Global Financial Crisis,Yale University,4.8,96k,Mixed,https://www.coursera.org/learn/global-financial-crisis
202,Corporate Strategy,University of London,4.8,12k,Beginner,https://www.coursera.org/learn/corporatestrategy
203,"Programming Languages, Part A",University of Washington,4.9,100k,Intermediate,https://www.coursera.org/learn/programming-languages
204,Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,4.8,51k,Beginner,https://www.coursera.org/learn/democracia
205,The Science of Success: What Researchers Know that You Should Know,University of Michigan,4.8,98k,Beginner,https://www.coursera.org/learn/success
206,Code Yourself! An Introduction to Programming,The University of Edinburgh,4.7,150k,Beginner,https://www.coursera.org/learn/intro-programming
207,Systems Thinking In Public Health,Johns Hopkins University,4.6,37k,Mixed,https://www.coursera.org/learn/systems-thinking
208,Social and Economic Networks:  Models and Analysis,Stanford University,4.8,46k,Advanced,https://www.coursera.org/learn/social-economic-networks
209,"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,4.8,46k,Intermediate,https://www.coursera.org/learn/trunk-anatomy
210,Ancient Philosophy: Plato & His Predecessors,University of Pennsylvania,4.8,83k,Mixed,https://www.coursera.org/learn/plato
211,Dermatology: Trip to skin,Novosibirsk State University ,4.3,16k,Beginner,https://www.coursera.org/learn/dermatology
212,Global Environmental Management,Technical University of Denmark (DTU),4.7,30k,Intermediate,https://www.coursera.org/learn/global-environmental-management
213,Information Security: Context and Introduction,University of London,4.6,42k,Beginner,https://www.coursera.org/learn/information-security-data
214,Computational Neuroscience,University of Washington,4.6,76k,Beginner,https://www.coursera.org/learn/computational-neuroscience
215,Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,4.7,52k,Mixed,https://www.coursera.org/learn/gestion-organizaciones-efectivas
216,The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,4.9,12k,Intermediate,https://www.coursera.org/learn/oralcavity
217,Roman Architecture,Yale University,4.9,38k,Beginner,https://www.coursera.org/learn/roman-architecture
218,Schizophrenia,Wesleyan University,4.7,26k,Intermediate,https://www.coursera.org/learn/schizophrenia
219,Practical Time Series Analysis,The State University of New York,4.6,46k,Intermediate,https://www.coursera.org/learn/practical-time-series-analysis
220,Probability and Statistics: To p or not to p?,University of London,4.6,47k,Beginner,https://www.coursera.org/learn/probability-statistics
221,Career 911: Your Future Job in Medicine and Healthcare,Northwestern University,4.4,15k,Mixed,https://www.coursera.org/learn/healthcarejobs
222,Sustainable Tourism – promoting environmental public health,University of Copenhagen,4.6,15k,Beginner,https://www.coursera.org/learn/sustainable-tourism
223,"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,4.7,33k,Mixed,https://www.coursera.org/learn/epidemic-pandemic-outbreak
224,"Sleep: Neurobiology, Medicine, and Society",University of Michigan,4.8,27k,Beginner,https://www.coursera.org/learn/sleep
225,Fundamentos de la escritura,Tecnológico de Monterrey,4.7,90k,Beginner,https://www.coursera.org/learn/escritura-esp
226,Epigenetic Control of Gene Expression,The University of Melbourne,4.8,38k,Mixed,https://www.coursera.org/learn/epigenetics
227,The Horse Course: Introduction to Basic Care and Management,University of Florida,4.9,32k,Mixed,https://www.coursera.org/learn/horse-care
228,Renewable Energy and Green Building Entrepreneurship,Duke University,4.7,37k,Beginner,https://www.coursera.org/learn/renewable-energy-entrepreneurship
229,Understanding child development: from synapse to society,Utrecht University,4.6,28k,Beginner,https://www.coursera.org/learn/child-development
230,Antibiotic Stewardship,Stanford University,4.5,16k,Advanced,https://www.coursera.org/learn/antibiotic-stewardship
231,Advertising and Society,Duke University,4.7,19k,Mixed,https://www.coursera.org/learn/role-of-advertising
232,Social Impact Strategy: Tools for Entrepreneurs and Innovators,University of Pennsylvania,4.8,26k,Beginner,https://www.coursera.org/learn/social-impact
233,Sexualidad...mucho más que sexo,Universidad de los Andes,4.8,130k,Beginner,https://www.coursera.org/learn/sexualidad
234,Paleontology: Theropod Dinosaurs and the Origin of Birds,University of Alberta,4.9,20k,Mixed,https://www.coursera.org/learn/theropods-birds
