,Name,Author,Rating,Enrollment,Difficulty,URL
348,The Unix Workbench,Johns Hopkins University,4.7,37k,Beginner,https://www.coursera.org/learn/unix
349,Fundamentals of Fluid Power,University of Minnesota,4.8,31k,Mixed,https://www.coursera.org/learn/fluid-power
350,The Modern and the Postmodern (Part 1),Wesleyan University,4.8,83k,Mixed,https://www.coursera.org/learn/modern-postmodern-1
351,Internet Giants: The Law and Economics of Media Platforms,The University of Chicago,4.8,44k,Mixed,https://www.coursera.org/learn/internetgiants
352,Introduction to Augmented Reality and ARCore,Google AR & VR,4.5,46k,Beginner,https://www.coursera.org/learn/ar
353,¿Cómo llegamos aquí? Una historia del poder en México,Universidad Nacional Autónoma de México,4.8,20k,Beginner,https://www.coursera.org/learn/historia-de-mexico
354,Apprendre comment apprendre (ACA) : Des outils mentaux puissants qui vous aideront à maîtriser des sujets difficiles,McMaster University,4.9,7.1k,Beginner,https://www.coursera.org/learn/apprendre-comment-apprendre
355,An Intuitive Introduction to Probability,University of Zurich,4.7,34k,Beginner,https://www.coursera.org/learn/introductiontoprobability
356,Keeping up with Change: Issues for the Finance Professional,University of London,4.7,12k,Mixed,https://www.coursera.org/learn/change-for-the-finance-professional
357,Chinese for HSK 4,Peking University,4.9,20k,Intermediate,https://www.coursera.org/learn/hsk-4
358,Chinese for HSK 5,Peking University,4.7,13k,Advanced,https://www.coursera.org/learn/chinese-for-hsk5
359,"The Holocaust - An Introduction (I): Nazi Germany: Ideology, The Jews and the World",Tel Aviv University,4.8,45k,Mixed,https://www.coursera.org/learn/holocaust-introduction-1
360,Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,4.7,28k,Intermediate,https://www.coursera.org/learn/cuidados-del-recien-nacido
362,Introduction to Communication Science,University of Amsterdam,4.7,100k,Mixed,https://www.coursera.org/learn/communication
363,Introduction to Algae,University of California San Diego,4.7,14k,Intermediate,https://www.coursera.org/learn/algae
364,Children Acquiring Literacy Naturally,"University of California, Santa Cruz",4.3,11k,Beginner,https://www.coursera.org/learn/children-literacy
365,How Music Can Change Your Life,The University of Melbourne,4.7,20k,Beginner,https://www.coursera.org/learn/music-life
366,The Science of Gastronomy,The Hong Kong University of Science and Technology,4.6,61k,Mixed,https://www.coursera.org/learn/gastronomy
367,Managing Your Health: The Role of Physical Therapy and Exercise,University of Toronto,4.6,17k,Beginner,https://www.coursera.org/learn/physical-therapy-exercise
368,Innovative Governance of Large Urban Systems,École Polytechnique Fédérale de Lausanne,4.7,1.8k,Intermediate,https://www.coursera.org/learn/iglus
369,Fundamentals of Digital Image and Video Processing,Northwestern University,4.6,94k,Mixed,https://www.coursera.org/learn/digital
370,Political Economy of Institutions and Development,Universiteit Leiden,4.7,19k,Beginner,https://www.coursera.org/learn/political-economy
371,Systèmes d’Information Géographique - Partie 1,École Polytechnique Fédérale de Lausanne,4.5,22k,Beginner,https://www.coursera.org/learn/sig-1
372,Chinese Politics Part 1 – China and Political Science,The Hong Kong University of Science and Technology,4.8,15k,Mixed,https://www.coursera.org/learn/chinesepolitics1
373,Introduction to Contemporary Geopolitics,National Research University Higher School of Economics,4.8,6.9k,Beginner,https://www.coursera.org/learn/contemprorary-geopolitics
374,Differential Equations for Engineers,The Hong Kong University of Science and Technology,4.9,29k,Beginner,https://www.coursera.org/learn/differential-equations-engineers
375,Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis",4.7,65k,Mixed,https://www.coursera.org/learn/materials-science
376,Oceanografía: una clave para entender mejor nuestro mundo,Fundació Navegació Oceànica Barcelona,4.7,15k,Mixed,https://www.coursera.org/learn/oceanografia
377,Conflict Transformation,Emory University,4.7,21k,Beginner,https://www.coursera.org/learn/conflict-transformation
378,Innovating in a Digital World,Institut Mines-Télécom,4.6,37k,Mixed,https://www.coursera.org/learn/innovating-digital-world
379,"Afrique et mondialisation, regards croisés",Sciences Po,4.7,5.2k,Beginner,https://www.coursera.org/learn/afrique-mondialisation
380,Budgeting essentials and development,Fundação Instituto de Administração,4.6,7.4k,Intermediate,https://www.coursera.org/learn/budgeting-essentials-development
381,Global Health Diplomacy,The State University of New York,4.6,8.3k,Beginner,https://www.coursera.org/learn/global-health-diplomacy
382,América Latina en los cambios internacionales: amenazas y oportunidades.,Universidad de Chile,4.5,36k,Beginner,https://www.coursera.org/learn/america-latina
383,University Teaching,The University of Hong Kong,4.8,14k,Beginner,https://www.coursera.org/learn/university-teaching
384,English for Media Literacy,University of Pennsylvania,4.9,62k,Mixed,https://www.coursera.org/learn/media
385,The Economics of Agro-Food Value Chains,Technische Universität München (TUM),4.4,10k,Intermediate,https://www.coursera.org/learn/valuechains
386,The Emergence of the Modern Middle East - Part I,Tel Aviv University,4.7,37k,Mixed,https://www.coursera.org/learn/modern-middle-east-1
387,Words Spun Out of Images: Visual and Literary Culture in Nineteenth Century Japan,The University of Tokyo,4.8,13k,Beginner,https://www.coursera.org/learn/visual-literary-culture-in-japan
388,BIM Application for Engineers,National Taiwan University,4.6,15k,Intermediate,https://www.coursera.org/learn/bim-application
390,Créer et développer une startup technologique,HEC Paris,4.6,25k,Mixed,https://www.coursera.org/learn/startup-technologique
391,Formación docente basada en la práctica para desarrollar habilidades del siglo XXI,Pontificia Universidad Católica de Chile,4.8,2.9k,Mixed,https://www.coursera.org/learn/formacion-docente-habilidades-siglo-veintiuno
392,Understanding Memory: Explaining the Psychology of Memory through Movies,Wesleyan University,4.7,90k,Mixed,https://www.coursera.org/learn/memory-and-movies
393,Negociações de sucesso: estratégias e habilidades essenciais (em Português),University of Michigan,4.9,60k,Mixed,https://www.coursera.org/learn/negociacao
394,"Film, Images & Historical Interpretation in the 20th Century: The Camera Never Lies",University of London,4.5,17k,Beginner,https://www.coursera.org/learn/film-images
395,Финансовые рынки и институты (Financial Markets and Institutions),National Research University Higher School of Economics,4.9,45k,Mixed,https://www.coursera.org/learn/finansovye-rynki
396,Introduction to Satellite Communications,Institut Mines-Télécom,4.6,29k,Beginner,https://www.coursera.org/learn/satellite-communications
397,Global Adolescent Health,The University of Melbourne,4.7,7k,Beginner,https://www.coursera.org/learn/youth-health
398,Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics,University of Rochester,4.6,56k,Mixed,https://www.coursera.org/learn/audio-engineering
399,Health Care IT: Challenges and Opportunities,Icahn School of Medicine at Mount Sinai,4.7,12k,Mixed,https://www.coursera.org/learn/healthcare-it
400,Ciudades en crisis y nuevas políticas urbanas,Universitat Autònoma de Barcelona,4.8,6.4k,Beginner,https://www.coursera.org/learn/ciudades-politicas-urbanas
401,"Le Bien, le Juste, l'Utile. Introduction aux éthiques philosophiques",University of Geneva,4.8,21k,Mixed,https://www.coursera.org/learn/ethique
402,Unethical Decision Making in Organizations,University of Lausanne,4.8,16k,Beginner,https://www.coursera.org/learn/unethical-decision-making
403,Foundations of Health Equity Research,Johns Hopkins University,4.8,,Beginner,https://www.coursera.org/learn/health-equity-research
404,Pensamiento Científico,Universidad Nacional Autónoma de México,4.7,100k,Mixed,https://www.coursera.org/learn/ciencia
405,Bacteria and Chronic Infections,University of Copenhagen,4.7,51k,Mixed,https://www.coursera.org/learn/bacterial-infections
406,Teaching EFL/ESL Reading: A Task Based Approach,University of London,4.7,24k,Intermediate,https://www.coursera.org/learn/esl-reading
407,Media ethics & governance,University of Amsterdam,4.8,8.6k,Intermediate,https://www.coursera.org/learn/media-ethics-governance
408,Marketing Verde,Universidad de los Andes,4.8,67k,Mixed,https://www.coursera.org/learn/marketing-verde
409,Game Theory II: Advanced Applications,The University of British Columbia,4.7,30k,Advanced,https://www.coursera.org/learn/game-theory-2
410,Data Science in Stratified Healthcare and Precision Medicine,The University of Edinburgh,4.6,11k,Intermediate,https://www.coursera.org/learn/datascimed
411,Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,4.8,51k,Mixed,https://www.coursera.org/learn/aristotle
412,Economie du sol et de l'immobilier I,École Polytechnique Fédérale de Lausanne,4.7,12k,Intermediate,https://www.coursera.org/learn/economie-sol-immobilier-1
413,"Philosophy, Science and Religion: Science and Philosophy",The University of Edinburgh,4.4,33k,Beginner,https://www.coursera.org/learn/philosophy-science-religion-1
414,Meditation: A way to achieve your goals in your life,Korea Advanced Institute of Science and Technology(KAIST),4.6,50k,Beginner,https://www.coursera.org/learn/self-reflection-meditation
415,The Holocaust - An Introduction (II): The Final Solution,Tel Aviv University,4.8,16k,Mixed,https://www.coursera.org/learn/holocaust-introduction-2
416,Introducción a la Producción Audiovisual,Universidad Nacional Autónoma de México,4.7,56k,Beginner,https://www.coursera.org/learn/intro-produccion-audiovisual
417,L'innovation managériale en pratique,ESSEC Business School,4.5,4.1k,Beginner,https://www.coursera.org/learn/innovation-manageriale
418,Israel State and Society,Hebrew University of Jerusalem,4.7,7.8k,Beginner,https://www.coursera.org/learn/israel
419,Humanitarian communication : Addressing key challenges,University of Geneva,4.6,8.7k,Intermediate,https://www.coursera.org/learn/humanitarian-communication
420,Gestión de las empresas de alimentación y bebidas,Università Bocconi,4.8,16k,Mixed,https://www.coursera.org/learn/empresas-alimentos-bebidas
421,Introducción a Java,Universidad Nacional Autónoma de México,4.3,100k,Beginner,https://www.coursera.org/learn/introduccion-java
422,After the Arab Spring – Democratic Aspirations and State Failure,University of Copenhagen,4.7,11k,Beginner,https://www.coursera.org/learn/after-the-arab-spring
423,The Science of the Solar System,Caltech,4.8,49k,Mixed,https://www.coursera.org/learn/solar-system
424,Teaching Character and Creating Positive Classrooms,Relay Graduate School of Education,4.8,59k,Mixed,https://www.coursera.org/learn/teaching-character
425,Greening the Economy: Lessons from Scandinavia,Lund University,4.7,22k,Beginner,https://www.coursera.org/learn/greening-the-economy
426,Introduction to the Arctic: Climate,University of Alberta,4.5,10k,Mixed,https://www.coursera.org/learn/arctic-introduction-climate
427,Roman Art and Archaeology,University of Arizona,4.7,34k,Mixed,https://www.coursera.org/learn/roman-art-archaeology
428,Foundations of Teaching for Learning: Curriculum,Commonwealth Education Trust,4.5,17k,Mixed,https://www.coursera.org/learn/teacher-curriculum
429,Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,University of Michigan,0,,Mixed,https://www.coursera.org/learn/3d-modeling-rhinoscript
430,Research for Impact,University of Cape Town,4.9,6.2k,Beginner,https://www.coursera.org/learn/research-for-impact
431,Patrocinio Deportivo,Universitat Autònoma de Barcelona,4.6,13k,Beginner,https://www.coursera.org/learn/patrocinio-deportivo
432,Contratación y mercado digital. Aspectos legales y otras cuestiones de interés,Universitat Autònoma de Barcelona,4.7,3.5k,Beginner,https://www.coursera.org/learn/mercado-digital
433,Introduction to Chemistry:  Structures and Solutions,Duke University,4.7,31k,Beginner,https://www.coursera.org/learn/basic-chemistry
434,Introdução ao Marketing Analítico,Insper,4.7,41k,Mixed,https://www.coursera.org/learn/marketing-analitico
435,Software Defined Networking,The University of Chicago,4.6,46k,Mixed,https://www.coursera.org/learn/sdn
437,Introduction to solar cells,Technical University of Denmark (DTU),4.8,40k,Beginner,https://www.coursera.org/learn/solar-cells
438,Global Warming I: The Science and Modeling of Climate Change,The University of Chicago,4.6,35k,Mixed,https://www.coursera.org/learn/global-warming
439,Russian History: from Lenin to Putin,"University of California, Santa Cruz",4.7,27k,Beginner,https://www.coursera.org/learn/russian-history-lenin-putin
440,Assessment and Teaching of 21st Century Skills,The University of Melbourne,4.6,6.9k,Mixed,https://www.coursera.org/learn/atc21s
441,Confronting Gender Based Violence: Global Lessons for Healthcare Workers,Johns Hopkins University,4.8,16k,Beginner,https://www.coursera.org/learn/gender-based-violence
442,Introduction to Reproduction,Northwestern University,4.6,20k,Mixed,https://www.coursera.org/learn/reproductive-health
443,Music and Social Action,Yale University,4.7,18k,Mixed,https://www.coursera.org/learn/music-and-social-action
444,Foundations for Assisting in Home Care,The State University of New York,4.7,5.8k,Mixed,https://www.coursera.org/learn/home-care
445,Chimpanzee Behavior and Conservation,Duke University,4.9,5.2k,Beginner,https://www.coursera.org/learn/chimp
446,Liderazgo Instruccional: Perspectiva Global y Prácticas Locales,Pontificia Universidad Católica de Chile,4.8,30k,Mixed,https://www.coursera.org/learn/liderazgo-educativo
447,Global Arctic,École Polytechnique Fédérale de Lausanne,4.8,2k,Intermediate,https://www.coursera.org/learn/global-arctic
448,America's Written Constitution,Yale University,4.8,22k,Mixed,https://www.coursera.org/learn/written-constitution
449,"Managing Responsibly: Practicing Sustainability, Responsibility and Ethics",University of Manchester   ,4.7,14k,Mixed,https://www.coursera.org/learn/responsible-management
450,European Business Law: Competing in Europe,Lund University,4.7,9.2k,Mixed,https://www.coursera.org/learn/eu-competition-law
451,Administração Financeira,Insper,4.8,27k,Beginner,https://www.coursera.org/learn/administracao-financeira
452,International Business I,University of New Mexico,4.7,35k,Mixed,https://www.coursera.org/learn/international-business
453,Art & Inquiry: Museum Teaching Strategies For Your Classroom,The Museum of Modern Art,4.7,28k,Mixed,https://www.coursera.org/learn/artinquiry
454,Single Variable Calculus,University of Pennsylvania,4.7,26k,Mixed,https://www.coursera.org/learn/discrete-calculus
455,Data Science Ethics,University of Michigan,4.7,16k,Beginner,https://www.coursera.org/learn/data-science-ethics
456,International Business II,University of New Mexico,4.7,13k,Mixed,https://www.coursera.org/learn/international-business-2
457,What future for education?,University of London,4.7,41k,Mixed,https://www.coursera.org/learn/future-education
458,Exploring Emerging Technologies for Lifelong Learning and Success,The State University of New York,4,24k,Beginner,https://www.coursera.org/learn/emerging-technologies-lifelong-learning
459,The Finite Element Method for Problems in Physics,University of Michigan,4.6,42k,Intermediate,https://www.coursera.org/learn/finite-element-method
460,American Contract Law II,Yale University,4.9,6.1k,Beginner,https://www.coursera.org/learn/contracts-2
461,Humanidades digitales,Universitat Autònoma de Barcelona,4.6,9.9k,Beginner,https://www.coursera.org/learn/humanidades-digitales
462,Approaching Music Theory: Melodic Forms and Simple Harmony,California Institute of the Arts,4.7,18k,Intermediate,https://www.coursera.org/learn/melodic-forms-simple-harmony
463,Global Health: An Interdisciplinary Overview,University of Geneva,4.6,21k,Mixed,https://www.coursera.org/learn/global-health-overview
464,Cómo autoconstruir tu vivienda,Universidad Nacional Autónoma de México,4.7,120k,Mixed,https://www.coursera.org/learn/como-autoconstruir-tu-vivienda
465,Maps and the Geospatial Revolution,The Pennsylvania State University,4.7,18k,Beginner,https://www.coursera.org/learn/geospatial
466,Wonders of Ancient Egypt,University of Pennsylvania,4.8,20k,Intermediate,https://www.coursera.org/learn/wonders-ancient-egypt
467,Diseño de Experiencia en Servicios,Universidad Austral,4.7,3.9k,Beginner,https://www.coursera.org/learn/diseno-experiencia-servicios
468,Diabetes – the Essential Facts,University of Copenhagen,4.7,39k,Beginner,https://www.coursera.org/learn/diabetes-essential-facts
469,Biomedical Visualisation,University of Glasgow ,4.6,5.1k,Intermediate,https://www.coursera.org/learn/biomedvis
470,Intel® Network Academy - Network Transformation 101,Intel,4.5,17k,Beginner,https://www.coursera.org/learn/network-transformation-101
471,Water Resources Management and Policy,University of Geneva,4.6,26k,Mixed,https://www.coursera.org/learn/water-management
472,"Drugs, drug use, drug policy and health",University of Geneva,4.7,14k,Beginner,https://www.coursera.org/learn/drugs
473,Arts and Culture Strategy,National Arts Strategies,4.7,16k,Mixed,https://www.coursera.org/learn/arts-culture-strategy
474,Robótica,Universidad Nacional Autónoma de México,4.5,200k,Mixed,https://www.coursera.org/learn/robotica-inicial
475,Copyright for Educators & Librarians,The University of North Carolina at Chapel Hill,4.8,13k,Mixed,https://www.coursera.org/learn/copyright-for-education
476,Los gobiernos locales como actores internacionales,Universidad Nacional Autónoma de México,4.8,18k,Intermediate,https://www.coursera.org/learn/gobiernos-locales
477,Music as Biology: What We Like to Hear and Why,Duke University,4.3,50k,Mixed,https://www.coursera.org/learn/music-as-biology
478,Understanding Obesity,The University of Edinburgh,4.6,39k,Beginner,https://www.coursera.org/learn/understanding-obesity
479,VR and 360 Video Production,Google AR & VR,4.7,19k,Beginner,https://www.coursera.org/learn/360-vr-video-production
480,"Bienestar, equidad y derechos humanos",Universidad de los Andes,4.8,34k,Beginner,https://www.coursera.org/learn/bienestar-equidad-derechos-humanos
481,Disease Clusters,Johns Hopkins University,4.7,11k,Beginner,https://www.coursera.org/learn/disease-clusters
482,Antisemitism: From Its Origins to the Present,Yad Vashem ,4.9,2.1k,Beginner,https://www.coursera.org/learn/antisemitism
483,Diseño y Creación de un Emprendimiento Social,Pontificia Universidad Católica de Chile,4.9,35k,Beginner,https://www.coursera.org/learn/emprendimiento-social-negocios-sustentable-canvas-sociales
484,Interest Rate Models,École Polytechnique Fédérale de Lausanne,4.5,22k,Advanced,https://www.coursera.org/learn/interest-rate-models
485,Thoracic Oncology,University of Michigan,4.9,13k,Advanced,https://www.coursera.org/learn/thoracic-oncology
486,Введение в машинное обучение,National Research University Higher School of Economics,4.6,98k,Mixed,https://www.coursera.org/learn/vvedenie-mashinnoe-obuchenie
487,Sexing the Canvas: Art and Gender,The University of Melbourne,4.6,25k,Beginner,https://www.coursera.org/learn/gender-art
488,Ensino Híbrido: Personalização e Tecnologia na Educação,Fundação Lemann,4.9,17k,Beginner,https://www.coursera.org/learn/ensino-hibrido
489,Buenas Prácticas en Libre Competencia,Pontificia Universidad Católica de Chile,4.8,5.8k,Mixed,https://www.coursera.org/learn/libre-competencia
490,Foundations of Teaching for Learning: Being a Teacher,Commonwealth Education Trust,4.6,27k,Mixed,https://www.coursera.org/learn/being-a-teacher
491,Mechanics of Materials I: Fundamentals of Stress & Strain and Axial Loading,Georgia Institute of Technology,4.8,91k,Mixed,https://www.coursera.org/learn/mechanics-1
493,Discover Best Practice Farming for a Sustainable 2050,University of Western Australia,4.6,18k,Beginner,https://www.coursera.org/learn/best-practice-farming-sustainable-2050
494,Scandinavian Film and Television,University of Copenhagen,4.6,18k,Beginner,https://www.coursera.org/learn/scandinavian-movies-tv
495,The Evolving Universe,Caltech,4.6,58k,Mixed,https://www.coursera.org/learn/evolvinguniverse
496,"Making Successful Decisions through the Strategy, Law & Ethics Model",University of Michigan,4.8,22k,Beginner,https://www.coursera.org/learn/strategy-law-ethics
497,The New Nordic Diet - from Gastronomy to Health,University of Copenhagen,4.6,39k,Mixed,https://www.coursera.org/learn/new-nordic-diet
498,Data Privacy Fundamentals,Northeastern University ,4.7,2.1k,Beginner,https://www.coursera.org/learn/northeastern-data-privacy
499,A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650),Yale University,4.7,24k,Beginner,https://www.coursera.org/learn/western-christianity-200-1650
500,Population Health: Fundamentals of Population Health Management,Universiteit Leiden,4.3,2.9k,Mixed,https://www.coursera.org/learn/fundamentals-population-health-management
501,Interactive Computer Graphics,The University of Tokyo,4.2,53k,Intermediate,https://www.coursera.org/learn/interactive-computer-graphics
502,An Introduction to the U.S. Food System: Perspectives from Public Health,Johns Hopkins University,4.8,9.5k,Beginner,https://www.coursera.org/learn/food-system
503,Reducing Gun Violence in America: Evidence for Change,Johns Hopkins University,4.7,5.3k,Beginner,https://www.coursera.org/learn/gun-violence
504,Assessment in Higher Education: Professional Development for Teachers,Erasmus University Rotterdam,4.8,7.8k,Intermediate,https://www.coursera.org/learn/assessment-higher-education
505,More Chinese for Beginners,Peking University,4.7,35k,Mixed,https://www.coursera.org/learn/more-chinese-for-beginners
507,Mobilité et urbanisme,École Polytechnique Fédérale de Lausanne,4.6,8k,Mixed,https://www.coursera.org/learn/mobiurba
508,Jazz Improvisation,Berklee College of Music,4.8,62k,Intermediate,https://www.coursera.org/learn/jazz-improvisation
509,Electric Vehicles and Mobility,École des Ponts ParisTech,4.5,21k,Beginner,https://www.coursera.org/learn/electric-vehicles-mobility
